State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users
ME,ME0296,2015,SWANS ISLAND PUBLIC LIBRARY,451 ATLANTIC ROAD,SWAN'S ISLAND,4685,-68.4173222,44.1746913,23,9,HANCOCK,54696,4125.0,150.0,6175.0,76000.0,12383.0,7626.0,355.0,5529.0,677.0
ME,ME0297,2015,ANNA FIELD FERNALD LIBRARY,35 SOUTH MAIN STREET,DETROIT,4929,-69.2981133,44.7953588,23,25,SOMERSET,51163,113.0,0.0,210.0,445.0,4532.0,0.0,33.0,48.0,150.0
ME,ME0298,2015,CUNDY'S HARBOR LIBRARY,935 CUNDY'S HARBOR ROAD,HARPSWELL,4079,-69.8930372,43.7912148,23,5,CUMBERLAND,287797,833.0,7.0,840.0,31407.0,4994.0,2.0,126.0,745.0,488.0
ME,ME0306,2015,BELGRADE PUBLIC LIBRARY,124 DEPOT ROAD,BELGRADE,4917,-69.8344595,44.4557468,23,11,KENNEBEC,121112,4900.0,350.0,5450.0,55570.0,8356.0,7514.0,268.0,7521.0,1704.0
ME,ME0308,2015,SOUTH THOMASTON PUBLIC LIBRARY,8 DUBLIN RD,SOUTH THOMASTON,4858,-69.1246827,44.0518792,23,13,KNOX,39676,903.0,250.0,1209.0,1959.0,6274.0,7514.0,107.0,2523.0,351.0
ME,ME0309,2015,FAYE O'LEARY HAFFORD LIBRARY,1063 ALLAGASH ROAD,ALLAGASH,4774,-69.0386623,47.0829976,23,3,AROOSTOOK,69447,300.0,0.0,600.0,5700.0,3883.0,0.0,254.0,259.0,174.0
ME,ME0310,2015,PALERMO COMMUNITY LIBRARY,2789 ROUTE 3,PALERMO,4354,-69.3948386,44.373118,23,27,WALDO,39051,268.0,0.0,368.0,7323.0,10068.0,0.0,555.0,2028.0,672.0
ME,ME0311,2015,STOCKTON SPRINGS COMMUNITY LIBRARY,6 STATION STREET,STOCKTON SPRINGS,4981,-68.855976,44.4894515,23,27,WALDO,39051,2797.0,1746.0,5803.0,22781.0,6681.0,8696.0,614.0,3700.0,1128.0
ME,ME0312,2015,LOUISE CLEMENTS LIBRARY,2655 CUTLER ROAD,CUTLER,4626,-67.2108782,44.6581487,23,29,WASHINGTON,31808,470.0,0.0,518.0,722.0,5242.0,0.0,50.0,293.0,328.0
ME,ME0313,2015,LEVANT HERITAGE LIBRARY,3519 UNION STREET,LEVANT,4456,-68.9329117,44.869186,23,19,PENOBSCOT,153414,0.0,0.0,0.0,5675.0,4850.0,0.0,0.0,253.0,812.0
ME,ME0314,2015,PEMBROKE LIBRARY,221 OLD COUNTY ROAD,PEMBROKE,4666,-67.1771102,44.9479743,23,29,WASHINGTON,31808,1131.0,150.0,1997.0,8745.0,9852.0,7514.0,21.0,2855.0,504.0
ME,ME0315,2015,LONG LAKE PUBLIC LIBRARY,384 MAIN STREET,ST. AGATHA,4772,-68.3463863,47.2499812,23,3,AROOSTOOK,69447,545.0,350.0,895.0,10767.0,13847.0,7514.0,30.0,3020.0,807.0
ME,ME0316,2015,RICHVILLE LIBRARY,743 RICHVILLE ROAD,STANDISH,4084,-70.5709231,43.8001908,23,5,CUMBERLAND,287797,1344.0,338.0,1707.0,4844.0,5281.0,18.0,100.0,612.0,289.0
ME,ME0317,2015,NEWBURGH COMMUNITY LIBRARY,2220 WESTERN AVENUE,NEWBURGH,4444,-68.9783115,44.7295008,23,19,PENOBSCOT,153414,498.0,0.0,602.0,602.0,8128.0,0.0,44.0,1109.0,180.0
