State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users,Name,median_household_income,total_population,median_age,per_capita,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,zipcode,year,education_none_perc,education_high_school_perc,education_ged_perc,education_associates_perc,education_bachelors_perc,education_masters_perc,education_professional_perc,education_doctorate_perc
PA,PA0369,2015,MARY M CAMPBELL LIBRARY,TENTH & GREEN STS,MARCUS HOOK,19061,-75.438637,39.833143,42,45,DELAWARE,562960,8793.0,0.0,8793.0,93850.0,17238.0,24.0,55.0,6520.0,477.0,ZCTA5 19061,20103.0,51977.0,40.2,25823.0,125.0,5835.0,495.0,1201.0,1663.0,747.0,108.0,55.0,42.0,19061.0,2015.0,0.2404909863978298,11.226119245050697,0.952344306135406,2.310637397310349,3.199492083036728,1.437174134713431,0.2077842122477249,0.1058160340150451
PA,PA0370,2015,MEDIA UPPER PROVIDENCE FREE LIBRARY,1 EAST FRONT ST,MEDIA,19063,-75.3891295,39.9188526,42,45,DELAWARE,562960,35927.0,0.0,40237.0,349363.0,30832.0,0.0,2060.0,104400.0,8653.0,ZCTA5 19063,35069.0,89058.0,46.4,49132.0,206.0,5239.0,332.0,1772.0,7550.0,4023.0,1356.0,985.0,42.0,19063.0,2015.0,0.2313099328527476,5.882683195221092,0.3727907655685059,1.989714568034315,8.477621325428371,4.517280873138853,1.52260324732197,1.1060207954366816
PA,PA0371,2015,MIDDLETOWN FREE LIBRARY,21 NORTH PENNELL ROAD,LIMA,19063,-75.439794,39.913662,42,45,DELAWARE,562960,33342.0,8832.0,50827.0,461826.0,47464.0,59.0,2990.0,93572.0,7063.0,ZCTA5 19063,35069.0,89058.0,46.4,49132.0,206.0,5239.0,332.0,1772.0,7550.0,4023.0,1356.0,985.0,42.0,19063.0,2015.0,0.2313099328527476,5.882683195221092,0.3727907655685059,1.989714568034315,8.477621325428371,4.517280873138853,1.52260324732197,1.1060207954366816
PA,PA0372,2015,HELEN KATE FURNESS FR LIBRARY,100 NORTH PROVIDENCE RD,WALLINGFORD,19086,-75.3754754,39.9047907,42,45,DELAWARE,562960,19976.0,376.0,23918.0,247971.0,38728.0,0.0,643.0,60849.0,8190.0,ZCTA5 19086,11605.0,96045.0,45.4,46706.0,15.0,1430.0,100.0,431.0,2574.0,1565.0,491.0,479.0,42.0,19086.0,2015.0,0.0156176792128689,1.4888854182935083,0.1041178614191264,0.448747982716435,2.679993752928315,1.629444531209329,0.5112186995679109,0.4987245561976157
PA,PA0373,2015,NEWTOWN PUBLIC LIBRARY,201 BISHOP HOLLOW RD,NEWTOWN SQUARE,19073,-75.4060491,39.9813034,42,45,DELAWARE,562960,29726.0,0.0,35076.0,303813.0,53012.0,0.0,1758.0,81520.0,5931.0,ZCTA5 19073,18960.0,87979.0,50.6,60206.0,112.0,2740.0,183.0,859.0,4327.0,2566.0,788.0,476.0,42.0,19073.0,2015.0,0.1273031064231237,3.1143795678514192,0.2080041828163539,0.9763693608702076,4.918219120471931,2.916605098944066,0.8956682844769773,0.5410382022982757
PA,PA0374,2015,NORWOOD PUBLIC LIBRARY,513 WELCOME AVE,NORWOOD,19074,-75.3014006,39.8909055,42,45,DELAWARE,562960,19970.0,0.0,20067.0,138469.0,23139.0,0.0,428.0,28700.0,2485.0,ZCTA5 19074,5897.0,66698.0,40.0,27676.0,23.0,1577.0,237.0,473.0,478.0,147.0,12.0,76.0,42.0,19074.0,2015.0,0.0344837926174697,2.364388737293472,0.3553329934930582,0.7091666916549222,0.7166631683108939,0.2203964136855677,0.017991543974332,0.1139464451707697
PA,PA0375,2015,PROSPECT PARK FREE LIBRARY,720 MARYLAND AVE,PROSPECT PARK,19076,-75.3082634,39.8884337,42,45,DELAWARE,562960,6806.0,0.0,8231.0,87236.0,11395.0,0.0,275.0,13422.0,2804.0,ZCTA5 19076,6568.0,60756.0,36.9,28090.0,13.0,1481.0,152.0,491.0,926.0,129.0,16.0,0.0,42.0,19076.0,2015.0,0.021397063664494,2.437619329778129,0.250181052077161,0.8081506353281981,1.5241293041016524,0.2123247086707485,0.0263348475870695,0.0
PA,PA0376,2015,MEM LIBRARY OF RADNOR TWNSHP,114 WEST WAYNE AVE,WAYNE,19087,-75.3885601,40.043453,42,45,DELAWARE,562960,112338.0,10000.0,153446.0,1375515.0,118257.0,219.0,5288.0,179761.0,14368.0,ZCTA5 19087,32747.0,118801.0,40.8,62005.0,69.0,1805.0,242.0,766.0,8031.0,5019.0,1822.0,1010.0,42.0,19087.0,2015.0,0.0580803191892324,1.5193474802400653,0.2037019890404963,0.6447757173761164,6.760044107372834,4.224711913199384,1.533657124098282,0.8501611939293441
PA,PA0377,2015,RIDLEY PARK PUBLIC LIBRARY,107 E. WARD STREET,RIDLEY PARK,19078,-75.3243415,39.8809349,42,45,DELAWARE,562960,12974.0,0.0,13155.0,125447.0,17382.0,0.0,744.0,15652.0,3431.0,ZCTA5 19078,11039.0,63596.0,41.1,31136.0,63.0,2759.0,110.0,691.0,1373.0,496.0,26.0,40.0,42.0,19078.0,2015.0,0.0990628341405119,4.338323164978929,0.1729668532612114,1.0865463236681552,2.1589408138876656,0.7799232656141896,0.0408830744071954,0.0628970375495314
PA,PA0378,2015,RIDLEY TOWNSHIP PUBLIC LIBRARY,100 E MACDADE BLVD,FOLSOM,19033,-75.3310078,39.8863318,42,45,DELAWARE,562960,57404.0,0.0,83069.0,609097.0,48498.0,0.0,3547.0,143720.0,11502.0,ZCTA5 19033,8289.0,75220.0,39.0,30697.0,23.0,2359.0,130.0,443.0,993.0,327.0,25.0,15.0,42.0,19033.0,2015.0,0.0305769742089869,3.136134006913055,0.1728263759638394,0.5889391119383143,1.320127625631481,0.4347248072321191,0.0332358415315075,0.0199415049189045
